name,combo
Rollie,2-6-8
Rollin,6-2-8
Sim,9-5-5
Stuart,4-5-9
Wilburn,3-6-9
Bennett,1-7-8
Casper,6-2-8
Christ,9-5-5
Dell,5-1-6
Egbert,1-2-3
Elmo,2-7-9
Fay,1-4-5
Gabriel,6-3-9
Hector,2-4-6
Horatio,4-1-5
Lige,5-1-6
Saul,4-4-8
Smith,9-6-6
Squire,8-9-8
Tobe,2-4-6
Tommie,2-1-3
Wyatt,1-7-8
Alford,7-4-2
Alma,2-7-9
Alton,7-1-8
Andres,6-1-7
Burl,3-5-8
Cicero,2-6-8
Dean,6-9-6
Dorsey,2-3-5
Enos,2-6-8
Howell,2-1-3
Lou,9-3-3
Loyd,6-5-2
Mahlon,7-2-9
Nat,1-7-8
Omar,7-4-2
Oran,7-5-3
Parker,6-9-6
Raleigh,6-9-6
Reginald,6-1-7
Rubin,3-7-1
Seymour,5-3-8
Wm,0-9-9
Young,9-1-1
Benjamine,2-8-1
Carey,6-1-7
Carlton,7-4-2
Eldridge,1-9-1
Elzie,1-2-3
Garrett,6-2-8
Isham,1-4-5
Johnson,3-2-5
Larry,1-1-2
Logan,7-6-4
Merrill,5-1-6
Mont,6-2-8
Oren,2-5-7
Pierre,1-7-8
Rex,5-6-2
Rodney,2-7-9
Ted,5-6-2
Webster,1-1-2
West,5-8-4
Wheeler,6-7-4
Willam,1-6-7
Al,1-3-4
Aloysius,1-3-4
Alvie,6-7-4
Anna,2-1-3
Art,1-2-3
Augustine,3-6-9
Bailey,6-3-9
Benjaman,7-8-6
Beverly,1-7-8
Bishop,6-9-6
Clair,1-6-7
Cloyd,6-8-5
Coleman,3-6-9
Dana,2-9-2
Duncan,4-8-3
Dwight,9-8-8
Emile,1-7-8
Evert,1-6-7
Henderson,7-5-3
Hunter,8-6-5
Jean,6-6-3
Lem,5-7-3
Luis,3-4-7
Mathias,2-6-8
Maynard,2-2-4
Miguel,8-5-4
Mortimer,2-1-3
Nels,5-9-5
Norris,6-6-3
Pat,1-9-1
Phil,9-9-9
Rush,3-9-3
Santiago,8-6-5
Sol,6-4-1
Sydney,5-6-2
Thaddeus,9-1-1
Thornton,3-4-7
Tim,9-6-6
Travis,1-7-8
Truman,4-2-6
Watson,7-4-2
Webb,5-9-5
Wellington,2-3-5
Winfred,5-2-7
Wylie,5-6-2
Alec,6-6-3
Basil,1-6-7
Baxter,6-1-7
Bertrand,6-4-1
Buford,9-3-3
Burr,3-2-5
Cleveland,2-4-6
Colonel,8-5-4
Dempsey,1-5-6
Early,6-1-7
Ellsworth,2-4-6
Fate,6-8-5
Finley,5-3-8
Gabe,6-9-6
Garland,2-1-3
Gerald,6-5-2
Herschel,1-5-6
Hezekiah,2-8-1
Justus,6-5-2
Lindsey,5-2-7
Marcellus,9-5-5
Olaf,7-9-7
Olin,6-8-5
Pablo,7-3-1
Rolland,7-6-4
Turner,8-7-6
Verne,1-9-1
Volney,2-1-3
Williams,1-7-8
Almon,7-3-1
Alois,7-4-2
Alonza,8-7-6
Anson,7-2-9
Authur,7-1-8
Benton,2-5-7
Billie,5-8-4
Cornelious,2-3-5
Darius,4-5-9
Denis,5-1-6
Dillard,1-5-6
Doctor,3-9-3
Elvin,5-3-8
Emma,6-8-5
Eric,5-3-8
Evans,6-1-7
Gideon,2-7-9
Haywood,4-6-1
Hilliard,1-9-1
Hosea,3-9-3
Lincoln,6-1-7
Lonzo,3-7-1
Lucious,3-7-1
Lum,3-7-1
Malachi,2-9-2
Newt,5-3-8
Noel,2-8-1
Orie,2-9-2
Palmer,6-5-2
Pinkney,5-8-4
Shirley,5-1-6
Sumner,8-1-9
Terry,5-9-5
Urban,4-7-2
Uriah,4-8-3
Valentine,2-1-3
Waldo,7-3-1
Warner,6-1-7
Wong,6-8-5
Zeb,5-1-6
Abel,6-5-2
Alden,6-3-9
Archer,6-2-8
Avery,6-2-8
Carson,7-9-7
Cullen,8-5-4
Doc,6-7-4
Eben,1-7-8
Elige,1-1-2
Elizabeth,2-5-7
Elmore,7-7-5
Ernst,5-8-4
Finis,9-3-3
Freddie,1-5-6
Godfrey,2-6-8
Guss,3-9-3
Hamp,1-1-2
Hermann,6-4-1
Isadore,3-5-8
Isreal,6-4-1
Jones,2-7-9
June,8-6-5
Lacy,1-4-5
Lafe,6-9-6
Leland,6-6-3
Llewellyn,1-2-3
Ludwig,3-1-4
Manford,7-1-8
