name,combo
MONROE,8-9-8
MASSEY,6-4-1
ROBERSON,8-8-7
COMBS,6-1-7
FRANCO,7-5-3
LARSEN,6-9-6
PITTMAN,1-2-3
RANDALL,2-6-8
SKINNER,5-4-9
WILKINSON,6-3-9
KIRBY,9-2-2
CAMERON,3-3-6
BRIDGES,5-5-1
ANTHONY,7-2-9
RICHARD,1-6-7
KIRK,9-4-4
BRUCE,8-5-4
SINGLETON,2-5-7
MATHIS,1-6-7
BRADFORD,7-7-5
BOONE,8-7-6
ABBOTT,7-8-6
CHARLES,6-6-3
ALLISON,7-3-1
SWEENEY,6-9-6
ATKINSON,7-6-4
HORN,6-4-1
JEFFERSON,7-1-8
ROSALES,3-5-8
YORK,6-9-6
CHRISTIAN,1-1-2
PHELPS,5-8-4
FARRELL,6-3-9
CASTANEDA,8-6-5
NASH,1-5-6
DICKERSON,2-6-8
BOND,6-2-8
WYATT,1-7-8
FOLEY,2-7-9
CHASE,6-3-9
GATES,6-1-7
VINCENT,5-1-6
MATHEWS,6-2-8
HODGE,2-1-3
GARRISON,7-4-2
TREVINO,2-2-4
VILLARREAL,7-4-2
HEATH,6-9-6
DALTON,7-5-3
VALENCIA,7-6-4
CALLAHAN,3-4-7
HENSLEY,1-6-7
ATKINS,1-1-2
HUFFMAN,4-2-6
ROY,6-7-4
BOYER,2-9-2
SHIELDS,5-8-4
LIN,9-8-8
HANCOCK,7-3-1
GRIMES,5-3-8
GLENN,5-2-7
CLINE,5-2-7
DELACRUZ,9-9-9
CAMACHO,8-9-8
DILLON,6-6-3
PARRISH,1-7-8
ONEILL,2-2-4
MELTON,2-5-7
BOOTH,3-3-6
KANE,6-7-4
BERG,5-9-5
HARRELL,6-5-2
PITTS,9-3-3
SAVAGE,7-3-1
WIGGINS,9-7-7
BRENNAN,6-8-5
SALAS,2-5-7
MARKS,1-7-8
RUSSO,9-2-2
SAWYER,6-4-1
BAXTER,6-1-7
GOLDEN,2-1-3
HUTCHINSON,9-5-5
LIU,3-3-6
WALTER,6-1-7
MCDOWELL,2-4-6
WILEY,5-6-2
RICH,9-2-2
HUMPHREY,8-7-6
JOHNS,6-6-3
KOCH,6-4-1
SUAREZ,9-9-9
HOBBS,6-4-1
BEARD,6-6-3
GILMORE,2-5-7
IBARRA,2-2-4
KEITH,5-3-8
MACIAS,2-8-1
KHAN,1-6-7
ANDRADE,7-4-2
WARE,6-5-2
STEPHENSON,7-2-9
HENSON,2-1-3
WILKERSON,2-7-9
DYER,5-2-7
MCCLURE,8-4-3
BLACKWELL,6-3-9
MERCADO,3-2-5
TANNER,6-3-9
EATON,3-7-1
CLAY,1-4-5
BARRON,7-7-5
BEASLEY,2-4-6
ONEAL,3-8-2
PRESTON,2-6-8
